아이디,댓글 내용
  Hj S,의학의 역사.. 너무 재밌어요ㅠㅠ 다음 영상도 기다릴게요
  김현정,지금 제 손가락에 있는 상처가 더 아픈 것 같아요 ㅎㅎㅎ다음 편도 기대합니다!!
  집사보틀 zipsa bottle,진짜 수많은 희생?에서 확립된 위생의 역사네여 ㄷㄷ
  Aging,소독이라는 개념이 도입되기 전에 막 잘라버렸다고 말씀하셨는데요... 자른 부위에 대해서는 지혈과 치료 등은 어떻게 했던건가요? 잘라도 어짜피 운에 의해서 살아남았을 것 같네요ㄷㄷ
  김구름,이 컨텐츠가 젤 재밌음 ㅋㅋ조상님 살아남아 주셔서 감사합니다 ㅠㅜ
  jh yie,"저렇게 팔다리 자르고 생존하면 환상통, 코 잘리면 재건수술 ㅋㅋㅋㅋㅋ 진짜 대환장의 역사닼ㅋㅋㅋ"
  jini,역사이야기해주시는거 너무재밌어요
  송Shy,소재가 특이하고...ㅋ 역사 공부하는 것 같고 설명..목소리...억양 너어무 빠져들어요 ㅋ 설명 너무 좋아요
  kangyeon,의학의 역사!! 너무 행복하다! 학교 발표 주제를 닥프 의학영상에서 영감받아서 준비하고 있어요ㅠ발표준비한다고 책 찾아보고 이러니까 보람차고 재밌네요 영상 감사합니다
  Cloudia,나이팅게일 최고ㅜㅜ 진짜 선구자셨네요  오늘도 유익했습니다~~^^
  tealeaf,와 가장 기다려지는 코너♡ 나중에 책으로 엮어주세요!
  카제노키즈,희생으로 인해서 탄생한......그나저나 나이팅게일이 이렇게 대단하신 분이었다니.......
  Jsy,의학의 역사 시리즈 너무 재밌는데 비슷한 책이 있을까요..??
  Ashya T,이 시리즈를 보다보니 우울증의 역사도 궁금해지네요
  정국,소설 재밋게 보고있어요 주인공 뇌절하는게 넘 우낌 ㅋㅋㅋㅋ
  대학간고냉이,"쌤 진짜 궁금한게, 쌤들이 만약 중세 고대 시대로 갔다면 어떤 방법으로 지혈을 하실건가요? 크게, 혹은 깊이 다쳤다면 혈관을 이어 꼬매지 않고서는 지혈이 불가능 하지 않나요? 그리고 가벼운 출혈일때 윗부분을 꽉 묶고만 있으면 지혈이 되나요? 지혈 되기 전에 혈액순환이 안돼서 괴사할 가능성이 높지 않나요?너무 궁금해요"
  윤성현,와 진짜 21세기에 태어나서 졸라 다행이다 진짜
  Y,소설 잘 보구 있어요~  영상에 나온부분 소설에서 읽을땨ㅐ 뭔가 더 집중해서 읽다가 빵터져요 ㅋㅋㅋ
  김광철,샘들덕에 많이  배우고 지식얻어갑니다 감사요^^~꿀잼
  김기정,진짜 역사 시리즈 너무 재미있어서 정주행 다하고왔어요 ( °̥̥̥̥̥̥̥̥◡͐°̥̥̥̥̥̥̥̥)
  정그래,의학역사 시리즈 대박이에요 ㅋㅋㅋㅋㅋ
  류연석,"이번에 쓰신 웹소설 읽고 있는데, 유튜브에서 말씀하신게 다 들어있네요 ㅋㅋㅋ 뭔가 끔찍하고도 웃긴..."
  Dana Kim,"근데 점점 보면서 느끼는게,,, 현대의학 중에서도 분명 100년, 1000년 후에는 미친짓으로 여겨질만한게 분명 있을거같음..ㅋㅋㅋ"
  루시,동양의학도 다뤄주실 수 있나요
  Shazliya,새로운걸 배우는것 참 재미있었어요. 감사합니다
  ᄋᄋ이,이런거 볼때마다 지금 하는 치료중에 미래에 끔찍하게 생각하는것도 있을텐데 싶음 ㅋㅋ
  yddding,낙준쌤 열일 너무 감사해요너무 재밌어요!!!앞으로도 화이팅!!
  청룡의검,의사선생님 3분이서하시는 영상늘잘보고있습니다  언제나화이팅입니다
  chocho,지금시대에 태어난게 넘 감사하네요…ㅋㅋ 출산의 역사는 계획없으신가요??? 요번에 둘째를 힘들게 낳고보니 새삼 옛날엔 어떻게 낳았나 싶고 그러네요 ㅠㅠ
  금복사랑,낙준 선생님 말씀하시는게 너무웃겨욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  김재윤,과연 몇세기 지나서 미래인들이 우리 치료법 보면 어이 없다는 반응이 나올까
  구르미,이집트는 진짜 시간여행자가 있었던게 아닐까
  jh yie,닥프 의학의 역사 하도 봐서 고대시대 가면 명의 될거 같음 
  딱밤,얼마전에 한밤중에 발에 아령이 떨어졌는데 혼자 살아 응급실 가기도 힘들고 다음날 출근해야해서.. 곤란해 하다가 슬쩍 보니까 피가 좀 많이 나긴 하지만 깊진 않은 것 같아서 상처부위가 심장보다 높아야한다!! 생각하면서 벽에 다리 기대 올려놓고 자고 일어나서 지혈해야지!!! 하면서 밴드 짱짱하게 둘둘 감아 하루종일 주방에서 일하다가 퇴근했는데 피가 안 멎는거에요... 아! 내일은 정형외과에 가봐야겠다! 하고 다친지 이틀 지나고 정형외과에 갔는데 제가 볼 땐 별로 안 깊었던 상처가 의사쌤이 벌리니까 엄청 벌어지대요?... 진짜 기절하는 줄... 제 수준이 19세기보다 못했네요..... 의사쌤이 도대체 왜 내 상처를 벌려보나 인터넷에서만 보던 발치한 사랑니 보여주며 이런게 들어있었네요 하하하 하던 괴짜 의사쌤 계열인가 싶었는데 다 뜻이 있던 행동이었군요....
  진청아,항상 의학의 역사를 보면서 이 시대에 태어난걸 감사하게돼요.....무섭다
  우주최강고양이,의학의 역사 너무 재밌어요 많이 만들어주세여..
  Jiyeon Aguilera,아.. 그래서 미국에서는 유독 찰과상에 대해 굉장히 민감해하고 조심하는 이유가 있었거든요. 그 관련 주사를 꼭 접종해야하거든요
  공일,의학의 역사 너무 재밌어요 재밌게 풀어주셔서 너무 보기 좋은!!!!!!!!!!
  하하하하하하,중세의학… 말도 안되게 이상하게 흘러가는 개념이 무슨 우리회사같네ㅋㅋㅋㅋ
  Judyhyenju Choi,요즘 닥프에 빠졌는데최근에 올리신걸 보다니!! 넘 좋아요~~
  희희희,역시 오늘도 쇼킹한 의학의 역사...
  류익룡,와.....전 머리에 상처 있는데 옛날이었으면.........현대에 태어나서 참 다행입니다ㅠㅠ
  LuLu Binu,의학의역사 진짜 일주일에14번해주세엽
  플투,저런 시대에 살아남아서 우리를 낳아준 조상님들에게 감사하자 ㅋㅋ
  미주알 고주알,4:41ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 넘 웃겨요ㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  순재,와~ 이 시대에 태어나서 진짜 다행이다
  시온이주인님,이것만 기다렸어요ㅜ 배속도 안하고 첨부터 끝까지 집중해서 보게되는 힘이 있는거 같아여!! 존잼
  소영이네콩이솜이,와..지금에서는 피가나면 당연히 안나게 막는게 중요하다는 걸 알지만 예전에는 진짜…
  ᄋᄉᄌ,선생님덜..  대상포진 한번만 다뤄주세요 죽을만큼 아픈데 이거 사람들이 많이 알았으면 좋겜ㅅ어요 
  현우진,검은머리 영국의사 잘 보고 있습니다 ㅎㅎ배경지식 보러 왔는데 설명이 잘 돼 있네요
  kanghyun yoo,의학의 역사가 제대로 보입니다.
  업계포상형미드필더,남북전쟁때 총상에 의한 절단이 흔했던건 당시에 사용되던 미니에탄이란 총알이 박히면 관통되는 수준을 넘어서 살속에서 터져버려서 어떻게해볼 방도가 없었다라고하던데 심지어 납총알이라
  엘잭,항상 재미난 이야기 감사하고 계속 부탁드려요~
  Jh,자기전에 봤는데 이번편 너무 웃겨서 잠이깼네요
  오게티,"우리도 한.. 100년 뒤면""와 옛날 사람들은 마취를 하고 살을 자르고 수술을 했구나 ㄷㄷ 마취 풀리면 얼마나 아플까""이럴지도"
  YOHAN KIM,기록으로 보면 나이팅게일은 기적과 같은 일을 한것같이 비춰졌겠네요.40%가 2%로 내려가다니 미라클
  0ngcy2ocgg,와 40에서 2퍼센트로 다운이라니 나이팅게일이 진짜 위인이구나
  Johnlim Male,몇천년 동안 의학은 제자리 였는대 100년만에 이렇게 발전한거네;;;
  엉엉엉엉,21세기에 태어나서 정말 다행이라고 생각함..
  Truebrary,닥터프렌즈 의학의 역사는 제 유튜브 최애 콘텐츠예요 항상 감사합니다
  다즐링,7:24 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 여기 반응이 너무 웃겨요
  J*H*,오늘 창윤쌤 표정 다양하네 ㅋㅋㅋ
  모구모구,나이팅게일이 간호사 였기 때문에 의사들을 설득하기위해서 벤다이어그램 을 사용해서 시각적인 효과를 (발명?) 해서 설득했다고 해요
  이효빈,이 컨텐츠 보고 구독했습니다  재밌게 잘보고 있습니다^^
  Cheshire,이집트는 진짜 뭐하는 나라였지? 어떻게 문명이 저렇게 고도로 발달한건지... 진짜 외계인이 세운 문명이 아닐까 싶을 정도
  이온,우창윤쌤 리액션 좋으시다
  Koreanraichu,이쯤되면 강한자만이 살아남는 게 아니라 살아남은 사람이 강해지는거 아닐까...
  문건,심폐소생술의 역사도 알려주세요 ㅎ
  G,창윤님이 내과 선택하신 이유를 무엇보다 잘 알겠는 영상 ㅋㅋㅋ 말 한 마디 한 마디마다 고통스러워하시네요
  한기택,늘 실망시키지않는구나 중세시대
  햄스터,닥프 선생님들이 잘 소개해 주셔서 더 재미있는 역사였어요!
  Dol-e Gom,현대에 태어났다는 것 자체가 축복이네;;
  Jony Kim,수십년만 지나도 현대의 몸에 칼을 대는 방식의 치료방식을 어처구나 없어 할것 같다
  존스미스배산임수,진짜 현생에 감사하면서 살고 있습니다 ㅎ
  하진,어제 넘어져서 오른쪽 무릎이 살이 파이는 바람에 꼬매고 깁스했는데..  진심 보건실이랑 병원에서 소독하는 내내 사실 소독약은 날 아파 죽이려고 발명된게 아닐까... 사실  고문용이였던거지..... 했는데 전혀 아니였네요..!  1세기 전이였으면 다리를 잘라야하는 상처라니... 마취 풀리고 뒤뚱뒤뚱 걸어다니려니까 너무 아파서 학교 빠질 예정인데 하루종일 의학의 역사 찾아보고 놀아야겠어요! ㅎ 너무너무 재밋고 유익하고 신기한 의학의 역사에 대한 영상 만들어주셔서 감사합니다! 쭉 꾸준히 잘 챙겨볼테니까 앞으로도 잘 부탁드려요!!!  쌤 최고!!
  Wol,역시 비극을 통해 성장하는 인간인가 ㅠㅠ
  유도진,검은 머리 영국 의사 보고 여기도 오니까 진짜 진짜 진짜로 21세기에 살고 있어서 정말 다행이다 싶네요. 진짜 중세는 어후...
  그건아니야,"100년, 200년만 지나도 우리 치료법도 ""어? 왜 저렇게 고통스럽게 하지?""가 되겠지요"
  J M,걍 의학의 역사보면서 맨날 지금 태어난걸 감사함…..
  바보너구리,화상치료에 대한 역사도 궁금하네요
  마루코는58세,귀를 다치면 목을 치는 기적의 치료법!!!ㅋㅋㅋㅋ
  고영희,소설 즐겁게 고통스럽게 즐기고 있어요 ㅋㅋㅋ
  BLACK PEARL,역사에 이름이 남으신 분들은 역시나 괜히 이름이 남는 게 아니군요..
  선정릉역1번출구,이 시리즈 보다보면 히포크라테스는 뭐 거의 개그캐임 ㅋㅋㅋㅋㅋㅋㅋ
  오랜지,알레르기의 역사 같은것도 있을지 궁금하네요
  hohoMom72,의학의 역사는 정말 이야기 듣는 재미가 있어요^^
  난쟁이가 쏘아올린 작은공인인증서,의학의 역사 넘 재밌어요 인기많은 교양 꿀강 듣는 기분
  심장이둡쯔둡쯔,의학의 역사 너무 재밌습니다!!!
  In Song,나이팅게일 썰이지만 보급장교가 하도 보급을 안줘서 망치로 곳간(?)을 털어 버리셨다는 일화도 있으시죠.
  SoMin Kim,증류주 증류액에 스피릿이나 오드비같은 이름이 붇은것중 하나가 그걸 상처에 뿌렸더니 안썩어서 그랬다 라는 썰이 있는데 두번 증류한 증류액은 약 50~70%정도의 알콜이라 근데 18-19세기부터 소독을....
  김댕댕,문명의 시대에 사는게 정말 감사함...
  강아지,의학의 역사 시리즈 너무 잼써..
  chae1,현대의학 가운데에서 살아서 다행이다ㅜㅜ
  앵갱,개재밌다…. 의학역사 진짜 너무재마씀
  O₂氣밥,로마뽕을 좀 첨가한 상태로 중세에 접어들 때 퇴보한 것들에 대해서 들을 때마다 절로 하게 되는 말이 있습니다.게르만 이 야만인 놈들...대체 뭔 짓을 한거야...사실 서로마가 망한 다음에도 지배층만 바뀌지 피지배층은 구 로마인 그대로였고 뉴럴라이저로 기억을 지우고 다녔던게 아닌지라 여러 요인에 의해서 잊혀진 것 뿐이겠지만 안타까울 때가 많습니다.
  레몬나르고빚갚으리오,인두로 지지는 파트 보니까 화상의 역사도 궁금해요!!!!
  달그락,상처를 벌려본대 ㄷㄷㄷㄷㄷㄷ 아정말... 보면 볼수록 저시대에 저기서 안태어나서 다행이다.. 전생이 있든말든 알빠아니고 그냥 현생에서 저 삽질들을 안겼어서 다행이야..
  정호석 제대해,오 닥프 인급동 올라가셨군요!! 축하드립니다
  1 2,아 진짜 볼때마다 경악 ㅠㅠㅠ현대의술이 너무 감사하다
  사돈어택,썸네일만 보면그 어떤 유튜브  채널 보다 하드고어하고 피비린내가 진동하며 살과뼈와피가 난무하는잔혹스릴러.....
  복히,빨리 다음편이요!! 너무 재밌어요!!
  Ihihih,실제로 당시 전쟁에서 사망 비율은 총탄에 맞아 전사한 전사자들보다 상처부위 감염으로 인한 패혈증으로 인한 전사자가 훨씬 많았다
  윤성민,의학의역사 끔찍한데 너무 재밌어요
  Min kim,현대 전문의  의사 가  유럽 중세시대 또는 중국 삼국시대로  가면  그저  신   그자체  겠네 ㄷㄷㄷㄷ
  Jin,이런거보면 지금도 후대에서 보면 끔찍한 치료가 있지않을까 싶음
  섯,너무조아요ㅜㅜ 이 시리즈만 기다려요
  HYEK JJ,조선시대것도 다뤄주세요 상상을 초월합니다
  V3 GoforGiants,이 형이 검은머리 영국 의사를 쓰다가 드디어 돌아버리고 충격을 받아서 하는 유투브구나
  김하니,7:39 창윤쌤 정신 나갔네.. 이 말이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 찐텐 100프로ㅋㅋㅋㅋ 전 이제 의학에 역사에 이 말 없으면 섭섭해요
  찐정구,아니 미국 남북 전쟁때까지도 그런식으로 상처치료를 했다니... 조선시대에도 그렇게는 안했을꺼 같은데... 동양과 서양의 의학역사도 비교해주시면 재밋을꺼 같아요
  야개짖는소리좀안나게해라,너무 재밌고  유익한 영상 몰아보기중입니다~ 넘나 재밌어요
  Konz,해적캐릭터들 왜그렇게ㅜ팔다리 하나가 잘려있고 피터팬 해적도 후크선장인지 알겠다... 싸우다 다치면 얄짤없이 잘렸구나... 그정도는 이겨내고 살아남아야 선장정도되는거야....아니 근데 후크선장손은 악어가 먹었잖아
  Olive Yoo,지금 이 시대에 태어나게 해주셔서 감사합니다!!!!!
  김강산,의학의 역사 너무 재밌어요
  P Fe,어렸을 때 놀다 다쳐서 피나면풀잎 같은거 돌로 빻아서 붙이면 낫는다고했었는데 오히려 감염이 더 되게 하는 개뻘짓 ㅎㅎ
  머봉류,사실상 의학의 역사는 전쟁 역사와도 같다 이말이야
  Minase Iori,꿀은 정말로 상처 치유효과가 있긴 하죠
  bany,너무 재밌게 보고가요 ㅎㅎ
  위재연,제가 습관성 탈골이 있는데.. 탈골의 역사가 궁금합니다 !
  like what,저진짜로 자기전에 이시리즈만봐요 봐도봐도 재미도잇는데 이미본거라서 선생님들 목소리 들으면서 잠요.. 빨리 더내줘요 현기증나
  채린,의학의 역사 너무 재밌어요 최고최고!!!
  성현,근시의 역사나 시력교정의 역사 이런건없나용ㅋㅋ
  김해솔,알쓸신잡 같은 프로인 것 같아여 너무 재밌어요
  살살해라,이번편 보면서 오토바이타다가 발목쪽에 크게 상처가나서 100바늘 넘게 기웠는데옛날같았으면.. 저는 발이 없었겠군요
  과학바라기 마야씨,"우연인지 모르겠으나 창윤쌤 맨투맨티 색깔이 딱~~ 산화구리 색깔이네요. (5:46 창윤쌤의 ""아~씨~!!""에서 느껴지는 대리 고통....) 낙준쌤의 의학의 역사를 보고 있다 보면..... 문득 그런 생각이 듭니다. ""의학의 역사 ≒ 시행착오의 역사 ≒ 고문의 역사 ≒ 사망의 역사 "" 라구요. 과학의 역사도 알고 보면 호기심의 역사이자, 전쟁의 역사인 것처럼요. 오늘도 재미있게 보고 갑니다."
  신세계살아남기Ghosn,7:44 오늘도 빵빵 터지는구만ㅋㅋㅋㅋㅋ너 살줄 알았지~
  h,전쟁이랑 의학발전이랑 엄청나게 관련이 있구나.....
  남진구,이제 그냥 이낙준선생님이 화면에 크게 걸려있으면 눈썹 빠지게 뛰어온다
  편안,중세시대 분위기 좋아해서 한 번쯤 살아보고 싶다..이랬는데 다치면 바로 죽겠네ㅜㅋ
  도나씌,진짜 너무 무서운 시대다...
  인류학과,‘감사한’ 의학의 역사…
  김진영,나도 나이팅게일위인전책을 학창시절때 눈으로 읽어본 적이 있었어요 의사선생님^^
  하서은,이 시리즈 넘 좋아
  안알랴줌,골절의 역사 진짜 기대되요왜냐하면 제가 지금 골절상태이기 때문에... ㅠㅠ
  킁킁,진짜 옛날 사람들은 병에 걸리면 아파서 어케 살았나??? 끔찍하네요.
  양희진,오늘도 고통 받는 창윤쌤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  gitae Cookiemonster,동양의학에서는 상처를 어떻게 다뤘는지도 궁금하네요..!!!
  코뮤즈대장,이 컨텐츠 너무 재밌어요!
  도비,역시 잔인한게 재밌다 ㅋㅋㅋ
  햄뚜아네트,콘텐츠는 의학의 역사인데 중간에 광고는 광전사 키우기가 나와요ㅋㅋㅋㅋㅋ 그런데 위화감이 없다.......
  신뢰의도약,매번 좋은 영상 감사해요
  모찌섭,우선 확실한거는 중세에 안 태어난게 천운이라는거임..진짜 이제는 살아남은 사람들이 더 이상해..수많은 감염과 절단에서 대체 어케 살아남은거지..
  ㅣ,의학의 역사 너무 재밋당.....
  김지유,"키야.. 왤케 재밋는지 기다렸어요ㅎ,ㅎㅎ 기대하고 있겠습니다!!"
  이수,와... 200년만 일렀으면 일상이 커팅식이었네
  왜캐마나,아니... 자르는 이유는 어느정도...뭐...그렇다 치는데 자르고 나서가 더 큰문제 아니에요...?찰과상도 목숨을 걱정해야하는 무서운 시대ㅠㅠ
  백구한접시,19세기 초까지는 차라리 동양쪽 치료가1년쯤 더 살고 덜 고통스러웠을 거 같다.
  블루잉,아주 다양한 방면에서 옛날 사람들은 그 자체로 마루타였구나 싶습니다.
  알리미스탠다드,위대하고  진짜.. 얼마 안된 ..기록같아요...
  박용일,상처의 역사에서 어이없는 부분이 많은데 전 5년전쯤 같이 일하던 인도 엔지니어가 손을 다치더니 자기 종교의 전통적인 방식으로만 치료한다고 말하더라구요. 근데 진짜 몇발자국 떨어진 거리에서도 알 수 있을만큼 상처에서 악취가 심하게 나는데 붕대만 감고 병원을 안 가더라구요. 몇주 뒤에 인도에 가서 치료 받고 온다더니 한달쯤 지나서 그 직원 부모님으로부터 회사에 그 직원이 죽었다고 연락이 왔습니다. 사람이 죽을만큼 심각한 부상이 아니었는데...그 종교는 도대체 어떤 치료를 한걸까요
  루루,오와 시간가는지 모르고 봤어요. 너무 너무 유익했어요!!
  만슥이,"허준이랑 히포크라테스랑 저승에서 만났으면 얼마나 신났을까....워후,.. 천국에서 만나진 않았을듯"
  초코송이,히포크리테스ㅋㅋㅋㅋㅋㅋ의학에 철학을 끼얹어서 사람을 죽이넹 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  HJ Y,총상은 도려내고 인두로 지지더라고요. 상처가 썪음 거머리 이용하고 청주로 닦고 옛날 우리나라 조상님의 최선의 방책
  밍,와씨 지금 시대에 태어난걸 감사하게 생각하게 되네 ㅋㅋㅋㅋㅋㅋ
  90ether,이 시리즈 짱잼
  민예화,검은 머리 영국 의사 보고 충격 받았잖아요.... 진짜 미친 짓이야....
  ME J,넘 재밌어욤~~
  양두영,또집트ㅋㅋ 곽민수 소장님 게스트로 나오면 좋을것 같은데
  박하늘,얼마 뒤면 항암제나 방사선요법 이런거 듣고 사람들이 기겁할지도 절제한다고? 알약하나 먹으면 되는데? 막 이러면서 ㅎㅎ얼른 그런 날이 왔음 좋겠다
  김태훈,ㅋㅋㅋㅋ 영상 보는내내 손에 힘이 빠져서 폰 많이 떨궛내요
  성이름,역시 50이면 장수하던 시대 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  그래나CEO,완전 재밌어요 의학역사 짱
  미소라면,백의의 천사가 진짜 '천사' 였던 건에 대하여.. ㅋㅋㅋㅋ
  파란쥬스,와 진짜 너무 고통스러워ㅜㅜㅜㅜ
  산강,기괴하고 감사하고 이것저것다하는 의학의역사 ㅋㅋㅋㅋㅋㅋㅋㅋ
  JYK,이런 걸 보면 그냥... 인류가 똑똑한 게 아니라 수많은 시행착오를 겪고 경험이 쌓여서 여기까지 온 거구나 싶다. 물론 애초에 그게 가능하려면 어느 정도 지능이 있어야 하지만
  Hong Sohuun,진존잼입니다진짜 ㅜㅜㅜㅜ !!
  정재명,어유 감사합니다. 이 시대에 태어나게 해주셔서 감사합니다.
  서월,알림보다 알고리즘이 일을 더 잘하네
  이재은,안 아프게 하려고 다른곳을 아프게 하는 큰그림 ㄷㄷ
  김한겸,옛날 의사들은 전부 광인이었나 ㅎㄷㄷ
  j l,7:49 아 이부분 개웃김ㅠ 어? 너 살줄알았지?ㅋㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  parksun,허준이.. 대단하다... 우리 조상님들 나이스
  ㅇㅇ,초6때 미술시간에 왼손 검지 우측 아래부분 학용품 칼에 길게 베여서 병원에 간 적이 있는데인대 잘렸는지 확인해본다고 하더라구요팔에 고무줄 묶어서 피 안통하게 하고 핀셋같은 기구로 상처 안쪽 뒤적여서 잘렸나 보던데아파 죽는줄 알았네요이 상하지 말라고 솜주고 그거 깨물으라고 함ㅋㅋ그 외에도 혹시 뼈는 안상했는지 x-ray도 찍고 6바늘 꿰맸습니다
  InOS,기록과 그것의 공유가 지식의 발전을 이끄는 역사적 자산..
  Romi P,오늘도 흥미진진 완전 몰입해서 봤어요 골절의 역사 할때 이동훈 박사의 뼈있는 이야기와 콜라보 해주시면 안되나요? https://youtube.com/channel/UC1ycmaRj5TxLn3xOhHcLyeg 재미가 두배일거 같아요!
  조은주,우창윤선생님 티셔츠색상 잘어울려요
  dnd,나이팅게일 슨배임 감사합니다…진짜 100년전에 안태어난게 다행이다
  Fury,역시 전쟁으로 체험 후 발전하는 인류의 문명
  momo hi,우창윤 쌤  표정 어쩔ㅋㅋ나도  으으으~~이러고  보고 있는데  창윤쌤  보면웃겨가지고... 빵빵터졌다
  개추,신작 쓰면서 조사하신 썰 푸시는 느낌
  Lee Kula,옛날에는 아파도 꾹 참고 상처가 크게 나도 꽁꽁 숨겼어야 그나마 산다...
  /ᐠ｡ꞈ｡ᐟ\,으악 ㅠ 듣는것만으로도 고통스럽다..
  크헿헤헤헤헤헤헿,포경의 역사 해주세여~
  이슬기,아진짜너무너무재밌다ㅠㅠㅠㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ웃기고유익하고 진짜 최고
  아아나아,옛날엔 대환장 파티였네 사람이 다치면 썩혀보다가 안되겠으면 짜르고 그래서 환상통 생기면 두개골 열고
  헤링본,후시딘과 마데카솔이 있는 여기는 천국이다..
  박채원,여기 채널 선생님들은 서로 배우려고 하고 딴 분 말씀하시는거 배우려고 하시고 아~~!! 아핫!! 이렇게 리액션도 잘해주시고 그래서 넘 좋아요! 딴채널은 내가 잘났니 뭐니 하면서 서로 말하려고 남의 말 끊고 그러던데 쌤들 영상은 이런게 없어서 좋아요홍^_^ (편안~~)
  청이,항상 전쟁으로 의료가 발전하는 아이러니.....
  나비럽,너무잼있엉!! 짜릿해!!! 다음편을 기다려요
  뚜잇,멸균거즈도 궁금해요!!
  Moonstrider,그래서 나이팅게일이 모 게임에서는 치료 말곤 아무것도 모르는 광전사로 나오기도...
  김주머니,6:02 그래서 다잉라이트2에서 꿀로 응급처치 도구를 만드는거였네요 왜 하필 꿀일까 했는데 저런 이유가 있었네
  이정,상처에 끓는 기름…. 진짜 정신나갈것 같다 ㅋㅋㅋㅋ…. 와….. 와….. ㅋㅋㅋㅋㅋㅋ
  whdk6095,약초가 많은 우리 나라…단군할아버지 감사합니다…
  KIM KIM,중세는 ㄹㅇ치료가 아니라 고문같다...
  녹색전구,미친ㅋㅋㅋㅋㅋㅋ 너무 꿀잼
  Violet Kim,07:48 너 살줄알았지? 살줄알았지? 야 여기까지 했으니까 살줄알았지? 자 이것봐라 딴따라단딴딴~ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 넘 킹받아요
  대도시,구더기는 실제로 욕창치료에서 쓰인다고 알고 있습니다.
  식먕,제가 지금 누리고있는 당연한 것들이 사실 죄없는 수많은 누군가의 희생이 있었기에 만들어질 수 있는거였네요
  ᄒᄒᄒᄒ,치료받는답시고 절단하고 뜨거운기름 부으면 어차피 죽을거 고문한번더받고 죽는거잖아ㅠㅋㅋ저때안태어나서 정말 다행이다...
  기타 치는 강망고TV,이거 너무 재밌어요 ㅠㅠ
  김땃쥐,와 40퍼에서 2퍼면 진짜 후광 달린 천사로 보였겠다..............
  현채빈,이러면 계속 잘라야 되는거 아니야? ㅋㅋㅋ 무섭다 진짜ㅠ
  iiijjjiii iiijjjiii,가끔 공포영화나 괴담보다 더 무서운 
  이성윤,겨울인데 납량특집... 수은으로 목욕하고 철쑤세미로 문질렀다던데 그보다 더 악랄한... 산화구리 연고라뇨... 파상풍... 덜덜. 춥다.
  우유는밁으,라떼는 말이야 쌉가능이다… 아 어ㅏ 감사하다 진짜
  성이름,어머니 아버지 21세기에 낳아주셔서 감사합니다..
  정민 김,ㅋㅋㅋ 맨처음에 하는 관찰..^^ 큰애 무릎에 포크가 박혔어서 병원 갔더니..  의사샘이 그 상처에 가위 찔러넣어보심...  애랑 나랑 어?어?어? 하며 이러는거 맞나....? 했었네요.
  손경원,의사랑 장의사를 겸직했나보네 ㄷㄷ…
  뽀쨔악고영,이런거 볼때마다 새삼 지금태어나서 다행이다...
  잉녱뇽,오 떴다!! 너무재밌어서 업로드 기다리게돼요ㅎㅎㅎ
  지선박,"간호학과 4학년, 나이팅게일 이야기 나와서 뿌듯해하며 지나감"
  소리소문,크게 다쳐서 응급실 가면 소독약 쏟으면서 상처를 벌려보는구나절대 다치지 말아야겠다........
  i 아이 i,OO의 역사시리즈는 너무 무서워여 ㅠ
  jw lee,100년 후의 의사들은 이 영상을 보면서 야 2022년에는 이렇게 치료했대 너무 멍청해 이럴듯ㅋㅋㅋㅋㅋㅋ
  키작은도니,의학이 발전한 시대에 살아 있어서 다행입니다. 전 진즉에 죽었을거 같아요
  강드,12:12 이래서.. 환상통의 역사 밑에 이게 떴구나.. 잘린사람 3만명....
  Sade King,핵전쟁나면 중세의학이 현대의학이 되는거군요..
  피넛츠,40%에서 2%라니 나이팅게일 진짜 대단한 분이셨네 
  제임스webb teles,이집트문명부터 해서 거의 5000년간 자른 팔다리 ㅋㅋㅋㅋㅋ
  i포뇨,"저... 이 컨텐츠 보는게 진짜 너무 힘들어요 ㅋㅋㄱㅋ큐ㅠㅠㅠ 액션영화, 각종 다치는 장면 다 못 보는 사람인데 ㅋㅋ큐ㅠㅠㅠㅠ듣는게 너무 괴로워요 하 ㅠㅠㅠㅠㅠ"
  원강동,가끔 허리 아프면 척추 뽑아버리고 싶은 충동이 드는데 그걸 그대로 실행햇나봄
  다윤이양,의학의 역사 기다리다 쥬금 ㅠㅠ 빤니 보고시퍼요
  yrano wa,넘모 재밌고 흥미진진해요
  아깝지만주는나무,진짜 지금이 인간의 황금기다. 인류가 많아진민큼 지구는 죽어가지만
